Timestamp [ms], X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Speed, Steering angle [degrees], GPS quality
117.21651, 704050583.4047171, 5638922643.148631, 92300.0, 359.9375, -7.75, 2.5625, 0.0313725509, 0.0, 5.0
180.979739, 704050546.7719837, 5638922678.823903, 92300.0, 359.9375, -7.75, 2.5, 0.0627451017, 0.0, 5.0
240.358125, 704050546.7719837, 5638922678.823903, 92300.0, 359.9375, -7.75, 2.5, 0.0549019612, 0.0, 5.0
308.938958, , , , 359.9375, -7.75, 2.5, 0.0549019612, 1.0, 
381.144896, 704050546.7719837, 5638922678.823903, 92300.0, 359.9375, -7.75, 2.5, 0.0235294122, 0.0, 5.0
441.746823, 704050546.7719837, 5638922678.823903, 92300.0, 359.9375, -7.75, 2.5, 0.0549019612, 0.0, 5.0
509.665677, , , , 359.9375, -7.75, 2.5, 0.0549019612, 1.0, 
578.060677, 704050546.7719837, 5638922678.823903, 92300.0, 0.375, -7.875, 2.5625, 0.0705882385, 0.0, 5.0
641.87151, 704050546.043952, 5638922697.352618, 92300.0, 359.75, -7.25, 2.375, 0.0705882385, 0.0, 5.0
710.294375, , , , 359.9375, -7.1875, 2.5625, 0.0705882385, 0.0, 
779.986145, 704050534.3183956, 5638922696.891897, 92300.0, 359.875, -7.25, 2.5625, 0.0549019612, 1.0, 5.0
849.930937, 704050534.3183956, 5638922696.891897, 92300.0, 359.875, -7.375, 2.5, -0.0313725509, 0.0, 5.0
912.510364, , , , 359.9375, -7.5, 2.4375, 0.0549019612, 0.0, 
976.810312, 704050534.3183956, 5638922696.891897, 92300.0, 359.9375, -7.5625, 2.4375, 0.0549019612, 0.0, 5.0
1041.816406, 704050522.5928392, 5638922696.431177, 92300.0, 359.875, -7.5, 2.4375, 0.0549019612, 0.0, 5.0
1109.567968, , , , 359.875, -7.4375, 2.5, 0.0, 0.0, 
1176.04552, 704050522.5928392, 5638922696.431177, 92300.0, 359.875, -7.5, 2.5, 0.0627451017, 0.0, 5.0
1241.779374, 704050522.5928392, 5638922696.431177, 92300.0, 359.875, -7.5, 2.4375, 0.0627451017, 1.0, 5.0
1315.789635, , , , 359.875, -7.5, 2.4375, 0.0, 0.0, 
1378.308281, 704050522.5928392, 5638922696.431177, 92300.0, 359.875, -7.5, 2.4375, 0.0549019612, 0.0, 5.0
1441.750676, 704050510.8672829, 5638922695.970455, 92300.0, 359.875, -7.5, 2.4375, 0.0549019612, 0.0, 5.0
1511.360572, , , , 359.875, -7.5, 2.4375, 0.0549019612, 1.0, 
1576.717031, 704050522.5928392, 5638922696.431177, 92300.0, 359.875, -7.5, 2.4375, 0.0, 0.0, 5.0
1642.286406, 704050510.8672829, 5638922695.970455, 92300.0, 359.875, -7.5, 2.4375, 0.0549019612, 0.0, 5.0
1712.342812, , , , 359.875, -7.5, 2.4375, 0.0627451017, 1.0, 
1777.655156, 704050510.8672829, 5638922695.970455, 92300.0, 0.5, -7.6875, 2.4375, 0.0627451017, 0.0, 5.0
1846.45302, 704050510.1392511, 5638922714.499172, 92300.0, 359.8125, -7.125, 2.3125, 0.0627451017, 0.0, 5.0
1907.595103, , , , 0.0625, -7.0, 2.6875, 0.0549019612, 0.0, 
1979.344791, 704050509.4112194, 5638922733.027889, 92300.0, 0.0, -6.875, 2.875, 0.0549019612, 1.0, 5.0
2044.732499, 704050510.1392511, 5638922714.499172, 92300.0, 359.9375, -6.9375, 2.75, 0.0, 0.0, 5.0
2115.46078, , , , 0.5625, -7.3125, 2.4375, 0.0549019612, 0.0, 
2177.466145, 704050498.4136947, 5638922714.038451, 92300.0, 0.0625, -6.625, 2.6875, 0.0549019612, 0.0, 5.0
2248.840937, 704050497.6856631, 5638922732.567169, 92300.0, 0.5625, -6.4375, 3.0, 0.0627451017, 0.0, 5.0
2309.809374, , , , 0.4375, -6.5, 3.125, 0.0156862754, 1.0, 
2377.433853, 704050497.6856631, 5638922732.567169, 92300.0, 0.3125, -6.625, 3.0, 0.0627451017, 0.0, 5.0
2448.029374, 704050497.6856631, 5638922732.567169, 92300.0, 0.25, -6.6875, 2.9375, 0.0549019612, 1.0, 5.0
2516.728801, , , , 0.25, -6.75, 2.9375, 0.0, 0.0, 
2591.469218, 704050497.6856631, 5638922732.567169, 92300.0, 0.25, -6.6875, 2.9375, 0.0549019612, 0.0, 5.0
2646.074114, 704050485.9601067, 5638922732.106447, 92200.0, 0.25, -6.6875, 2.9375, 0.0549019612, 0.0, 5.0
2712.475311, , , , 0.25, -6.6875, 2.9375, 0.0549019612, 1.0, 
2777.150311, 704050497.6856631, 5638922732.567169, 92200.0, 0.25, -6.6875, 2.9375, 0.0156862754, 1.0, 5.0
2847.730676, 704050485.9601067, 5638922732.106447, 92300.0, 0.25, -6.6875, 2.875, 0.0627451017, 0.0, 5.0
2912.740728, , , , 0.25, -6.75, 2.875, 0.0705882385, 0.0, 
2977.418332, 704050485.9601067, 5638922732.106447, 92200.0, 0.25, -6.75, 2.875, 0.0627451017, 0.0, 5.0
3044.852186, 704050485.2320751, 5638922750.635167, 92200.0, 0.25, -6.75, 2.875, 0.0549019612, 1.0, 5.0
3116.490624, , , , 0.25, -6.75, 2.875, 0.0549019612, 0.0, 
3178.997342, 704050485.2320751, 5638922750.635167, 92200.0, 0.25, -6.75, 2.875, 0.0549019612, 0.0, 5.0
3253.756457, 704050485.2320751, 5638922750.635167, 92200.0, 0.25, -6.75, 2.875, -0.0235294122, 1.0, 5.0
3312.790103, , , , 0.25, -6.75, 2.875, 0.0549019612, 0.0, 
3378.541874, 704050485.2320751, 5638922750.635167, 92200.0, 0.25, -6.75, 2.875, 0.0627451017, 0.0, 5.0
3453.820467, 704050485.2320751, 5638922750.635167, 92200.0, 0.25, -6.75, 2.875, 0.0627451017, 0.0, 5.0
3513.653176, , , , 0.25, -6.75, 2.875, 0.0313725509, 1.0, 
3581.406197, 704050485.2320751, 5638922750.635167, 92200.0, 0.25, -6.75, 2.875, 0.0549019612, 0.0, 5.0
3644.105728, 704050472.7784872, 5638922768.703162, 92200.0, 0.25, -6.75, 2.875, 0.0549019612, 0.0, 5.0
3717.409582, , , , 0.25, -6.75, 2.875, 0.0235294122, 0.0, 
3781.201821, 704050484.5040435, 5638922769.163881, 92200.0, 0.25, -6.75, 2.875, 0.0549019612, 0.0, 5.0
3848.104738, 704050971.7271241, 5638922324.374817, 93000.0, 0.25, -6.75, 2.875, 0.0549019612, 0.0, 4.0
3914.204009, , , , 0.25, -6.75, 2.875, 0.0627451017, 0.0, 
3979.815884, 704050971.7271241, 5638922324.374817, 93000.0, 0.25, -6.75, 2.875, 0.0313725509, 1.0, 4.0
4050.382238, 704050971.7271241, 5638922324.374817, 93000.0, 0.25, -6.75, 2.875, 0.0627451017, 0.0, 4.0
4112.639894, , , , 0.25, -6.75, 2.875, 0.0549019612, 0.0, 
4184.323696, 704050971.7271241, 5638922324.374817, 93000.0, 0.25, -6.75, 2.875, 0.0549019612, 0.0, 4.0
4247.986613, 704050971.7271241, 5638922324.374817, 93000.0, 0.25, -6.75, 2.875, 0.0549019612, 1.0, 4.0
4312.390155, , , , 0.25, -6.75, 2.875, 0.0549019612, 0.0, 
4382.220988, 704050971.7271241, 5638922324.374817, 93000.0, 0.25, -6.75, 2.875, 0.0549019612, 0.0, 4.0
4444.747602, 704050971.7271241, 5638922324.374817, 93000.0, 0.25, -6.75, 2.875, 0.0313725509, 0.0, 4.0
4512.892654, , , , 0.625, -6.75, 2.5625, 0.0627451017, 0.0, 
4582.36005, 704050971.7271241, 5638922324.374817, 93000.0, 0.5625, -6.3125, 2.875, 0.0627451017, 0.0, 4.0
4649.367707, 704050971.7271241, 5638922324.374817, 93000.0, 0.625, -6.25, 3.1875, 0.0549019612, 0.0, 4.0
4712.288436, , , , 0.5625, -6.5, 3.1875, 0.0235294122, 1.0, 
4784.579738, 704050971.7271241, 5638922324.374817, 93000.0, 0.5, -6.5625, 3.0625, 0.0235294122, 0.0, 4.0
4850.109529, 704050971.7271241, 5638922324.374817, 93000.0, 0.5, -6.5, 3.0625, 0.0549019612, 0.0, 4.0
4914.642706, , , , 0.5, -6.5, 3.0625, 0.0235294122, 0.0, 
4982.689217, 704050971.7271241, 5638922324.374817, 93000.0, 0.5, -6.5, 3.0625, 0.0627451017, 0.0, 4.0
5051.870675, 704050971.7271241, 5638922324.374817, 93000.0, 0.5, -6.5, 3.0625, 0.0313725509, 0.0, 4.0
5112.986352, , , , 0.5, -6.5, 3.0625, 0.0627451017, 0.0, 
5182.832706, 704050971.7271241, 5638922324.374817, 93000.0, 0.5, -6.5, 3.0625, 0.0156862754, 1.0, 4.0
5259.76156, 704050971.7271241, 5638922324.374817, 93000.0, 0.5, -6.5, 3.0625, 0.0078431377, 0.0, 4.0
5316.880623, 704050971.7271241, 5638922324.374817, 93000.0, 0.5, -6.5, 3.0625, 0.0470588244, 0.0, 4.0
5382.870519, , , , 0.5, -6.5, 3.0625, 0.0470588244, 0.0, 
5452.537967, 704050971.7271241, 5638922324.374817, 93000.0, 0.5, -6.5, 3.0625, 0.0470588244, 2.0, 4.0
5512.963227, , , , 0.5, -6.5, 3.0625, 0.0156862754, 0.0, 
5584.672133, 704050971.7271241, 5638922324.374817, 93000.0, 0.5, -6.5, 3.0625, 0.2352941185, 0.0, 4.0
5649.528279, 704050971.7271241, 5638922324.374817, 93000.0, 0.5, -6.5, 3.0625, 0.6745098233, 0.0, 4.0
5719.647654, 704050971.7271241, 5638922324.374817, 93000.0, 0.5625, -6.6875, 3.25, 1.003921628, 0.0, 4.0
5783.739425, , , , 358.6875, -5.6875, 5.125, 1.003921628, 0.0, 
5850.902966, 704050984.1807147, 5638922306.306825, 93000.0, 357.6875, -6.4375, 7.4375, 1.003921628, 0.0, 4.0
5912.685519, , , , 356.8125, -7.5, 6.1875, 1.003921628, 1.0, 
5981.370675, 704051009.0878961, 5638922270.170833, 93100.0, 357.125, -7.6875, 6.625, 1.003921628, 0.0, 4.0
6053.400154, 704051072.8119181, 5638922142.773424, 93100.0, 356.625, -8.625, 6.75, 1.003921628, 0.0, 4.0
6124.131196, 704051170.256551, 5638922053.815618, 93200.0, 356.375, -9.0625, 6.25, 1.003921628, 0.0, 4.0
6185.339216, , , , 356.375, -7.6875, 6.3125, 1.003921628, 0.0, 
6250.977393, 704051301.4217906, 5638922003.297418, 93200.0, 356.0625, -6.6875, 7.8125, 1.003921628, 0.0, 4.0
6310.981352, , , , 356.0625, -5.625, 8.4375, 1.003921628, 0.0, 
6383.160258, 704051330.6971823, 5638921855.989123, 93300.0, 355.4375, -4.875, 8.5625, 1.003921628, 2.0, 4.0
6449.915935, 704051346.0629132, 5638921763.80626, 93300.0, 354.625, -5.1875, 8.4375, 1.003921628, 0.0, 4.0
6518.650154, , , , 353.9375, -4.625, 8.6875, 1.003921628, 12.0, 
6594.332029, 704051411.2430182, 5638921599.351418, 93300.0, 353.8125, -4.875, 8.8125, 1.003921628, 23.0, 4.0
6649.67557, 704051463.2414976, 5638921471.493289, 93400.0, 354.0625, -5.375, 8.8125, 1.003921628, 30.0, 2.0
6716.264997, 704051525.5094689, 5638921381.153319, 93400.0, 355.5625, -4.875, 9.4375, 1.003921628, 34.0, 2.0
6781.639529, , , , 358.25, -5.25, 9.875, 1.003921628, 34.0, 
6849.246456, 704051661.0429417, 5638921219.462822, 93400.0, 1.5, -4.1875, 10.5, 1.003921628, 33.0, 4.0
6916.567029, 704051699.1317635, 5638921146.730125, 93500.0, 4.6875, -3.8125, 10.875, 1.003921628, -4.0, 4.0
6983.727133, , , , 8.25, -3.5, 11.0625, 1.003921628, -1.0, 
7050.891404, 704051682.2329633, 5638920979.050219, 93500.0, 11.75, -2.8125, 11.3125, 1.003921628, 0.0, 4.0
7117.054997, , , , 13.0, -2.9375, 10.625, 1.003921628, 1.0, 
7183.731299, 704051710.0522974, 5638920868.799361, 93500.0, 13.125, -3.125, 11.1875, 1.003921628, 0.0, 4.0
7254.437497, 704051692.4254602, 5638920719.648175, 93600.0, 12.25, -3.0625, 11.75, 1.003921628, 0.0, 4.0
7316.36932, 704051709.9753052, 5638920571.879157, 93600.0, 11.8125, -3.375, 11.8125, 1.003921628, 0.0, 4.0
7386.02557, , , , 11.0, -3.25, 12.0625, 1.003921628, 0.0, 
7450.631247, 704051761.2457644, 5638920462.549748, 93600.0, 11.0, -3.25, 12.3125, 1.003921628, 0.0, 2.0
7514.903383, , , , 10.5, -3.4375, 12.5, 1.003921628, 0.0, 
7587.220257, 704051812.5162252, 5638920353.22034, 93600.0, 10.0625, -4.0, 12.8125, 1.003921628, 3.0, 2.0
7649.963278, 704051830.0660738, 5638920205.4513235, 93700.0, 9.5, -3.875, 12.75, 1.003921628, 6.0, 2.0
7715.593278, , , , 9.4375, -3.75, 12.875, 1.003921628, 6.0, 
7789.189372, 704051869.610976, 5638920095.661193, 93700.0, 9.8125, -4.0, 13.125, 1.003921628, 3.0, 2.0
7849.869893, 704051909.1558795, 5638919985.871059, 93700.0, 10.625, -3.5, 13.3125, 1.003921628, 1.0, 5.0
7915.794424, , , , 11.25, -3.5625, 13.5, 1.003921628, 1.0, 
